Rank,School name,Name in Chinese,Country,AI Course,AI Program (Program names that include AI courses),AI  background Teacher name,Teacher Background Information,Link,,,,,,,,,,,,,,,,,,,,,
4,Stanford University,斯坦福大学,USA,"Public Affairs Data Journalism
Exploring Computational Journalism
Programming in Journalism
Politics of Algorithms ","M.A. in Journalism
B.A. in Communication","1.Serdar Tumgoren
2.Angele Christin
3.Cheryl Phillips
4.R.B. Brenner
5.Shana Hadi","1)B.A. in Georgetown University(Journalist by background, then passionate about data work, Linkedin profile
A graduate of Georgetown University, Serdar began his career as a local government reporter in California, Connecticut, and New Jersey.
He is passionate about open source tools and platforms that help journalists uncover data-driven stories. He co-founded the OpenElections project, a volunteer effort to gather and standardize U.S. election data, and created datakit, a customizable tool to help journalists simplify and standardize their data analysis workflows

2) PhD, Princeton University, Sociology (2014)
she studies fields and organizations where algorithms and analytics transform professional values, expertise, and work practices

3)journalist, a data journalist and professor (A journalist by training, she has been teaching data journalism at Stanford Journalism and founded the Stanford Computational Journalism Lab, but her academic background is not available online.
Founder, Big Local News at Stanford Journalism & Faculty Director, Stanford Computational Policy Lab

4)B.A. in Oberlin College (Journalist by training, has been a journalist for many years

5) MS in Computer Science (Human-Computer Interaction) BS in Computer Science (HCI) and BA in English","https://journalism.stanford.edu/curriculum

https://comm.stanford.edu/people/faculty/journalism",,,,,,,,,,,,,,,,,,,,,
5,University of Texas at Austin,得克萨斯大学奥斯汀分校,USA,Computational Media and Data Science,M.A. in Journalism and Media,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
6,"Nanyang Technological University, Singapore",南洋理工大学,singapore,Intelligent Information Retrieval \ Advanced Quantitative Research Methods in Communication and Information  , Master of Communication Studies (Research) | Communication,Andrea Nanetti\ Arul Indrasen Chib,"computer operating systems with graphical user interfaces\.  digital media (mobile, online, and social)",https://www.ntu.edu.sg/education/graduate-programme/master-of-communication-studies#additionaiInformation,,,,,,,,,,,,,,,,,,,,,
7,University of Pennsylvania ,宾夕法尼亚大学,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
8,University of Wisconsin-Madison,威斯康星大学麦迪逊分校,USA,COMPUTATIONAL APPROACHES TO COMMUNICATION RESEARCH,M.A. in JOURNALISM AND MASS COMMUNICATION,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,Michigan State University,密歇根州立大学,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
10,New York University (NYU),纽约大学,USA,Introduction to Programming,Journalism,Jay Rosen,N/A,https://journalism.nyu.edu/graduate/programs/studio-20-digital-first/,,,,,,,,,,,,,,,,,,,,,
11,"Goldsmiths, University of London",伦敦大学金匠学院,UK,"Digital Sandbox
Interactive Data Visualisation",MA/MSc Digital Journalism,Prof Robert Zimmer,"A.I., theorem proving with applications to hardware/software design & verification, safety-critical systems, humanities computing, digital multimedia with applications",,,,,,,,,,,,,,,,,,,,,,
12,"University of California, Berkeley (UCB)",加利福尼亚大学伯克利分校,USA,Data Journalism,Journalism,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
13,University of Michigan-Ann Arbor,密歇根大学-安娜堡,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
